Champions League,Sportium,Barcelona,Chelsea,1.44,4.50,7.50
Premier,Sportium,Arsenal,Manchester City,4.50,4.00,1.70
Premier,Sportium,Burnley,Everton,2.45,3.00,3.10
Premier,Sportium,Leicester,Bournemouth,1.83,3.70,4.20
Premier,Sportium,Southampton,Stoke City,1.72,3.60,4.80
Premier,Sportium,Tottenham,Huddersfield town,1.18,6.50,17.00
Premier,Sportium,Swansea,West ham,2.50,3.10,2.90
Premier,Sportium,Watford,West Brom Albion,2.10,3.20,3.70
Premier,Sportium,Liverpool,Newcastle,1.22,6.50,13.00
Premier,Sportium,Brighton,Arsenal,4.20,3.60,1.83
Premier,Sportium,Manchester City,Chelsea,1.61,4.00,5.20
Premier,Sportium,Crystal Palace,Manchester United,6.50,3.90,1.53
Premier,Sportium,Manchester United,Liverpool,2.50,3.30,2.75
Premier,Sportium,West Brom Albion,Leicester,2.90,3.10,2.50
Premier,Sportium,Huddersfield town,Swansea,2.45,3.00,3.00
Premier,Sportium,West ham,Burnley,2.25,3.00,3.40
Premier,Sportium,Everton,Brighton,2.00,3.20,4.00
Premier,Sportium,Newcastle,Southampton,2.55,3.10,2.87
Premier,Sportium,Chelsea,Crystal Palace,1.30,5.20,10.00
Premier,Sportium,Arsenal,Watford,1.36,4.80,8.00
Premier,Sportium,Bournemouth,Tottenham,5.25,4.00,1.60
Premier,Sportium,Stoke City,Manchester City,12.00,5.80,1.25
Serie A,Sportium,SPAL,Bolonia,2.40,3.10,3.10
Serie A,Sportium,Lazio,Juventus,3.60,3.20,2.10
Serie A,Sportium,Napoles,Roma,1.57,4.00,5.50
Serie A,Sportium,Genova,Cagliari,1.87,3.25,4.50
Serie A,Sportium,Chievo,Sassuolo,2.30,3.10,3.20
Serie A,Sportium,Benevento,Hellas Verona,2.10,3.40,3.30
Serie A,Sportium,Udinese,Fiorentina,3.25,3.20,2.25
Serie A,Sportium,Atalanta,Sampdoria,1.72,3.70,4.60
Serie A,Sportium,Torino,Crotone,1.44,4.25,7.50
Serie A,Sportium,AC Milan,Inter de Mil�n,2.60,3.10,2.80
Serie A,Sportium,Roma,Torino,1.66,3.90,4.80
Serie A,Sportium,Hellas Verona,Chievo,3.20,3.30,2.25
Serie A,Sportium,Fiorentina,Benevento,1.28,5.50,12.00
Serie A,Sportium,Crotone,Sampdoria,3.30,3.20,2.20
Serie A,Sportium,Sassuolo,SPAL,1.95,3.30,4.00
Serie A,Sportium,Bolonia,Atalanta,3.80,3.20,2.00
Serie A,Sportium,Cagliari,Lazio,5.25,3.90,1.61
Serie A,Sportium,Genova,AC Milan,3.10,3.10,2.40
Serie A,Sportium,Inter de Mil�n,Napoles,3.50,3.40,2.10
Bundesliga,Sportium,Monchengladbach,Werder Bremen,1.87,3.60,4.00
Bundesliga,Sportium,Hamburg,Mainz 05,2.25,3.10,3.30
Bundesliga,Sportium,Wolfsburg,Bayern Leverkusen,3.25,3.40,2.15
Bundesliga,Sportium,Ausburg,Hoffenheim,2.55,3.30,2.70
Bundesliga,Sportium,Frankfurt,Hannover 96,1.75,3.50,4.80
Bundesliga,Sportium,Schalke 04,Hertha Berlin,1.66,3.60,5.50
Bundesliga,Sportium,RB Leipzig,Borussia Dormund,2.55,3.50,2.55
Bundesliga,Sportium,Colonia,Stuttgart,2.35,3.25,3.00
Bundesliga,Sportium,Friburgo,Bayern Munchen,11.00,5.50,1.28
Bundesliga,Sportium,Mainz 05,Schalke 04,3.10,3.30,2.25
Bundesliga,Sportium,Hannover 96,Ausburg,2.40,3.20,3.00
Bundesliga,Sportium,Hoffenheim,Wolfsburg,1.83,3.70,4.00
Bundesliga,Sportium,Bayern Munchen,Hamburg,1.13,8.00,26.00
Bundesliga,Sportium,Hertha Berlin,Friburgo,2.20,3.20,3.40
Bundesliga,Sportium,Bayern Leverkusen,Monchengladbach,1.80,3.75,4.20
Bundesliga,Sportium,Stuttgart,RB Leipzig,2.90,3.25,2.40
Bundesliga,Sportium,Borussia Dormund,Frankfurt,1.61,3.90,5.25
Bundesliga,Sportium,Werder Bremen,Colonia,1.90,3.50,4.00
Ligue 1,Sportium,Niza,Lille,1.80,3.40,4.75
Ligue 1,Sportium,Monaco,Bordeaux,1.61,3.90,5.25
Ligue 1,Sportium,Troyes,PSG,12.00,5.50,1.28
Ligue 1,Sportium,Saint Etienne,Dijon,1.70,3.60,5.00
Ligue 1,Sportium,Metz,Toulouse,2.55,3.10,2.87
Ligue 1,Sportium,Angers,Guingamp,2.05,3.10,3.90
Ligue 1,Sportium,Amiens,Rennes,3.10,3.00,2.40
Ligue 1,Sportium,Caen,Estraburgo,2.15,3.10,3.50
Ligue 1,Sportium,Montpellier,Oly. de Lyon,2.90,3.20,2.40
Ligue 1,Sportium,Oly. de Marsella,Nantes,1.53,4.00,6.00
UEFA,Sportium,Atletico de Madrid,Lokomotiv Moscou,1.25,5.50,17.00
UEFA,Sportium,Borussia Dormund,RB Salzburg,1.44,4.50,7.50
UEFA,Sportium,Sporting de Lisboa,Viktoria Plzen,1.40,4.33,9.50
UEFA,Sportium,Lazio,Dinamo Kiev,1.44,4.50,7.50
UEFA,Sportium,RB Leipzig,Zenit,1.80,3.70,4.50
NBA,Betfair,Orlando Magic,Toronto Raptors, 4.6 ,None, 1.22 
NBA,Betfair,Detroit Pistons,Milwaukee Bucks, 1.85 ,None, 2.05 
NBA,Betfair,Boston Celtics,Charlotte Hornets, 1.33 ,None, 3.6 
NBA,Betfair,Atlanta Hawks,Indiana Pacers, 2.75 ,None, 1.5 
NBA,Betfair,Washington Wizards,Golden State Warriors, 4.0 ,None, 1.28 
NBA,Betfair,Memphis Grizzlies,Phoenix Suns, 1.7 ,None, 2.25 
NBA,Betfair,Dallas Mavericks,Oklahoma City Thunder, 2.75 ,None, 1.5 
NBA,Betfair,San Antonio Spurs,New Orleans Pelicans, 1.53 ,None, 2.62 
La Liga,Betfair,Betis,Real sociedad, 2.62 , 3.7 , 2.55 
La Liga,Betfair,Las Palmas,Barcelona, 17.0 , 8.0 , 1.18 
La Liga,Betfair,Alaves,Levante, 1.8 , 3.5 , 5.0 
La Liga,Betfair,Villarreal,Girona, 1.8 , 3.6 , 4.75 
La Liga,Betfair,Sevilla,Athletic de Bilbao, 1.65 , 3.9 , 5.5 
La Liga,Betfair,Leganes,Malaga, 1.95 , 3.25 , 4.5 
La Liga,Betfair,Real Madrid,Getafe, 1.2 , 7.5 , 13.0 
La Liga,Betfair,Levante,Espa�ol, 2.75 , 3.1 , 2.8 
La Liga,Betfair,Barcelona,Atletico de Madrid, 1.66 , 3.9 , 5.0 
La Liga,Betfair,Real sociedad,Alaves, 1.75 , 3.9 , 4.5 
La Liga,Betfair,Valencia,Betis, 1.5 , 4.6 , 6.0 
La Liga,Betfair,Celta de Vigo,Las Palmas, 1.44 , 4.6 , 7.0 
La Liga,Betfair,Eibar,Real Madrid, 7.0 , 5.0 , 1.4 
La Liga,Betfair,Sevilla,Valencia, 2.05 , 3.5 , 3.75 
La Liga,Betfair,Getafe,Levante, 1.75 , 3.3 , 4.5 
La Liga,Betfair,Malaga,Barcelona, 12.0 , 6.5 , 1.22 
Champions League,Betfair,PSG,Real Madrid, 2.0 , 4.2 , 3.25 
Champions League,Betfair,Liverpool,Oporto, 1.5 , 4.5 , 6.5 
